network_id,station_id,path
ASOSAWOS,ASOSAWOS_72290023188,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72290023188.zarr/
ASOSAWOS,ASOSAWOS_72290303131,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72290303131.zarr/
ASOSAWOS,ASOSAWOS_72290403178,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72290403178.zarr/
ASOSAWOS,ASOSAWOS_72290693112,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72290693112.zarr/
ASOSAWOS,ASOSAWOS_72290753143,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72290753143.zarr/
ASOSAWOS,ASOSAWOS_72290993115,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72290993115.zarr/
ASOSAWOS,ASOSAWOS_72291093116,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72291093116.zarr/
ASOSAWOS,ASOSAWOS_72292023191,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72292023191.zarr/
ASOSAWOS,ASOSAWOS_72292593117,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72292593117.zarr/
ASOSAWOS,ASOSAWOS_72292603154,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72292603154.zarr/
ASOSAWOS,ASOSAWOS_72292703177,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72292703177.zarr/
ASOSAWOS,ASOSAWOS_72292800369,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72292800369.zarr/
ASOSAWOS,ASOSAWOS_72293193107,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72293193107.zarr/
ASOSAWOS,ASOSAWOS_72293453121,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72293453121.zarr/
ASOSAWOS,ASOSAWOS_72295023174,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72295023174.zarr/
ASOSAWOS,ASOSAWOS_72295503174,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72295503174.zarr/
ASOSAWOS,ASOSAWOS_72295603167,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72295603167.zarr/
ASOSAWOS,ASOSAWOS_72297023129,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72297023129.zarr/
ASOSAWOS,ASOSAWOS_72297553141,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72297553141.zarr/
ASOSAWOS,ASOSAWOS_72297603166,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72297603166.zarr/
ASOSAWOS,ASOSAWOS_72297793184,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72297793184.zarr/
ASOSAWOS,ASOSAWOS_72317153144,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72317153144.zarr/
ASOSAWOS,ASOSAWOS_72360023051,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72360023051.zarr/
ASOSAWOS,ASOSAWOS_72362593057,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72362593057.zarr/
ASOSAWOS,ASOSAWOS_72362723081,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72362723081.zarr/
ASOSAWOS,ASOSAWOS_72364703034,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72364703034.zarr/
ASOSAWOS,ASOSAWOS_72365023050,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72365023050.zarr/
ASOSAWOS,ASOSAWOS_72365493091,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72365493091.zarr/
ASOSAWOS,ASOSAWOS_72365623049,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72365623049.zarr/
ASOSAWOS,ASOSAWOS_72365823090,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72365823090.zarr/
ASOSAWOS,ASOSAWOS_72366303012,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72366303012.zarr/
ASOSAWOS,ASOSAWOS_72367593092,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72367593092.zarr/
ASOSAWOS,ASOSAWOS_72367623048,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72367623048.zarr/
ASOSAWOS,ASOSAWOS_72367723054,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72367723054.zarr/
ASOSAWOS,ASOSAWOS_72367823052,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72367823052.zarr/
ASOSAWOS,ASOSAWOS_72370093167,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72370093167.zarr/
ASOSAWOS,ASOSAWOS_72371003162,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72371003162.zarr/
ASOSAWOS,ASOSAWOS_72372123184,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72372123184.zarr/
ASOSAWOS,ASOSAWOS_72372323184,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72372323184.zarr/
ASOSAWOS,ASOSAWOS_72374023194,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72374023194.zarr/
ASOSAWOS,ASOSAWOS_72374500374,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72374500374.zarr/
ASOSAWOS,ASOSAWOS_72375003103,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72375003103.zarr/
ASOSAWOS,ASOSAWOS_72375493027,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72375493027.zarr/
ASOSAWOS,ASOSAWOS_72375600375,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72375600375.zarr/
ASOSAWOS,ASOSAWOS_72376293244,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72376293244.zarr/
ASOSAWOS,ASOSAWOS_72378303195,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72378303195.zarr/
ASOSAWOS,ASOSAWOS_72378853135,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72378853135.zarr/
ASOSAWOS,ASOSAWOS_72380523179,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72380523179.zarr/
ASOSAWOS,ASOSAWOS_72381523161,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72381523161.zarr/
ASOSAWOS,ASOSAWOS_72381603159,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72381603159.zarr/
